Ime recepta,Število sestavin,Število besed v receptu,Število odstavkov,Težavnost,Čas priprave,Čas kuhanja,Skupni čas,Vrsta kuhinje,Energijska vrednost na porcijo
Sirovi profiteroli s črnim poprom,8,201,4,2,30 min,35 min,1 h 5 min,Zabava,345.83 kCal
Piščančji cordon bleu s krompirjevo solato,14,261,6,1,15 min,45 min,1 h 0 min,Meso,153.56 kCal
Pečene fige s sladoledom,6,130,3,1,5 min,10 min,15 min,Zabava,228.97 kCal
Hrustljavi piščančji ocvrtki z arašidi in sezamom,9,142,4,1,20 min,15 min,35 min,Kuhinje,216.96 kCal
Tunina riževa solata z zelenjavo,11,123,3,1,20 min,0 min,20 min,Solate,72.92 kCal
Borovničevo pecivo s chia semeni,9,140,5,1,15 min,25 min,40 min,Zdravo in vegi,250.33 kCal
Presna borovničeva pita,10,171,2,1,4 h 30 min,0 min,4 h 30 min,Zdravo in vegi,207.58 kCal
Leden kavni frape,4,64,2,1,15 min,0 min,15 min,Poletje,67.4 kCal
Brownie kolač,12,258,6,2,20 min,50 min,1 h 10 min,Valentinovo,447.51 kCal
Pečene nektarine z baziliko in kozjim sirom,5,92,3,1,15 min,10 min,25 min,Piknik in žar,45.22 kCal
Steak po azijsko,7,171,3,2,1 h 5 min,6 min,1 h 11 min,Azijska,193.15 kCal
Krompirjeva solata s kumaricami in kaprami,9,128,3,1,15 min,30 min,45 min,Piknik in žar,87.39 kCal
Lososove polpete s špinačo,9,152,4,1,15 min,10 min,25 min,Zdravo in vegi,117.78 kCal
Hitri prigrizki iz listnatega testa,6,99,3,1,10 min,15 min,25 min,Zabava,282.57 kCal
Čokoladna panna cotta,6,145,4,1,4 h 15 min,10 min,4 h 25 min,Italijanska,492.45 kCal
Mandljev kolač s slivami,14,217,6,1,15 min,40 min,55 min,Poletje,430.83 kCal
Chia puding z jogurtom in jagodami,7,92,2,1,4 h 15 min,0 min,4 h 15 min,Zdravo in vegi,203.76 kCal
Mlečni zdrob s čokolado in limonino kremo,6,76,2,1,5 min,15 min,20 min,Sladice,350.08 kCal
Zeleni smoothie z meto,7,57,2,1,10 min,0 min,10 min,Zdravo in vegi,164.42 kCal
Jogurtovo pecivo s polento in nektarinami,10,184,4,1,15 min,55 min,1 h 10 min,Poletje,402.96 kCal
Ovseni kolač s sadjem in rikoto,15,211,4,1,15 min,40 min,55 min,Piknik in žar,369.89 kCal
Jagodni napitek z meto,4,75,2,1,10 min,0 min,10 min,Poletje,32.73 kCal
Vaflji s stepeno smetano in sadjem,12,139,3,1,30 min,40 min,1 h 10 min,Zabava,276.59 kCal
Tagliatelle s paradižnikovo omako s čičeriko,10,193,4,1,5 min,20 min,25 min,Italijanska,80.37 kCal
Njoki s špinačo in gorgonzolno omako,6,144,5,1,10 min,10 min,20 min,Vegetarijanstvo,113.12 kCal
Bananin sladoled,1,70,3,1,2 h 10 min,0 min,2 h 10 min,Banana na 1001 način,0 kCal
"Bučkini polpeti z grahom, feto in koprom",11,170,5,1,15 min,25 min,40 min,Vegetarijanstvo,157.92 kCal
Paradižniki s kremnim avokadovim nadevom,6,123,3,1,40 min,0 min,40 min,Vegetarijanstvo,35.76 kCal
Stročji fižol z arašidovim prelivom,6,129,3,1,10 min,20 min,30 min,Zdravo in vegi,128.95 kCal
Cheesecake z malinovim pirejem,10,281,6,2,2 h 40 min,15 min,2 h 55 min,Poletje,289.07 kCal
Piščančje prsi z grahom in slanino,8,188,4,1,10 min,30 min,40 min,Okusi sveta,367.83 kCal
Pita s pečenimi figami in frangipanom,10,260,6,2,45 min,1 h 40 min,2 h 25 min,Poletje,218.01 kCal
Mlečni rogljički,9,224,4,2,1 h 30 min,20 min,1 h 50 min,Testenine in žita,336.13 kCal
Bučkin narastek s timijanom in feto,12,211,4,1,10 min,50 min,1 h 0 min,Poletje,78.48 kCal
Borovničev kolač z limoninim ledom,14,273,5,0,20 min,1 h 0 min,1 h 20 min,Poletje,323.13 kCal
Borovničev drobljenec,12,165,4,1,15 min,30 min,45 min,Poletje,187.41 kCal
Marelični cmoki,11,152,4,2,25 min,30 min,55 min,Poletje,243.75 kCal
Kuhane hruške na vanilijevi kremi s karameliziranimi pinjolami,12,220,5,2,35 min,25 min,1 h 0 min,MasterChef,179.09 kCal
Ravioli z rakci in agrumi,14,233,7,2,20 min,15 min,35 min,MasterChef,265.81 kCal
"Meringe s konjakovim gelom, jagodami in korenčkovo karamelo",11,143,4,2,20 min,50 min,1 h 10 min,MasterChef,254.17 kCal
Istrski piknik,14,214,6,2,25 min,15 min,40 min,MasterChef,285.59 kCal
Čokoladna krema s fileji mandarine in nadrobljenimi piškoti,5,55,4,1,15 min,4 min,19 min,MasterChef,545.09 kCal
Sotiran file smuča s korenčkovim pirejem z žafranom,6,74,4,1,15 min,15 min,30 min,MasterChef,167.43 kCal
Račje prsi z vinsko omako s suhimi slivami in koruznim pirejem,11,160,4,2,10 min,15 min,25 min,MasterChef,189.92 kCal
Kruhovi ocvrtki s smetano in ribezovo omako,11,152,5,1,15 min,15 min,30 min,MasterChef,312.31 kCal
Jagnječji file z grahovim pirejem in koruzno kremo,13,197,6,2,30 min,20 min,50 min,MasterChef,99.04 kCal
Bučkine rolice z zeliščno skuto,7,81,4,1,10 min,0 min,10 min,MasterChef,40.83 kCal
Raviol z rumenjakom,7,137,4,2,20 min,5 min,25 min,MasterChef,299.58 kCal
Čokoladni souffle,8,137,6,2,20 min,10 min,30 min,MasterChef,350.16 kCal
Jagnječje zarebrnice s kuskusom in zelenjavno omako,11,207,8,2,25 min,20 min,45 min,MasterChef,310.26 kCal
Rozbif s hrenovim pirejem,14,257,7,2,15 min,45 min,1 h 0 min,MasterChef,125.7 kCal
Jastog z bučkino kremo in zeliščnim maslom s konjakom,12,169,6,2,15 min,30 min,45 min,MasterChef,117.41 kCal
Jastog z bearneško omako in sotiranimi šparglji,14,176,6,2,30 min,15 min,45 min,MasterChef,154.93 kCal
Tortica iz jastoga in zelenjave s paradižnikovo omako,15,199,5,2,35 min,15 min,50 min,MasterChef,98.11 kCal
Croquembouche,15,370,6,3,1 h 40 min,40 min,2 h 20 min,MasterChef,252.71 kCal
Biftek z belim tartufom in ajdovo kašo s papriko,12,214,7,2,25 min,20 min,45 min,MasterChef,129.9 kCal
Losos z belim tartufom in pirejem iz sladkega krompirja,12,158,4,2,25 min,20 min,45 min,MasterChef,335.85 kCal
Rižota s tartufi in hrustljavo panceto na beluševi kremi,16,215,5,2,15 min,25 min,40 min,MasterChef,107.09 kCal
Pečena račka s pečenim krompirjem s tartufi,14,213,6,2,20 min,25 min,45 min,MasterChef,101.94 kCal
Pečena račka z agnolotti z nadevom iz mavrahov in belega tartufa,18,237,6,2,15 min,30 min,45 min,MasterChef,206.79 kCal
Špargljeva pita,13,228,3,2,15 min,40 min,55 min,MasterChef,210.69 kCal
Pečena piščančja prsa na aromatičnem dušenem zelju z milnci,22,298,6,2,30 min,30 min,1 h 0 min,MasterChef,242.04 kCal
"Piščančja jetrca z omako iz čebule, medu in rdečega vina",19,240,6,2,30 min,30 min,1 h 0 min,MasterChef,92.66 kCal
"Mafin s skuto in modrim sirom, karamelizirano hruško in orehovo omako",12,182,4,2,15 min,45 min,1 h 0 min,MasterChef,383.5 kCal
Koromačeva juha z rdečo peso in modrim sirom,14,236,4,2,25 min,20 min,45 min,MasterChef,255.79 kCal
Ravioli z rdečim radičem in skuto na koromačevi kremi,14,245,7,2,30 min,25 min,55 min,MasterChef,309.25 kCal
Jogurtova strjenka z rožmarinom in pesinimi prilogami,17,291,7,2,40 min,20 min,1 h 0 min,MasterChef,198.38 kCal
File kovača z zelenjavno kremo in sotiranim fižolom,10,138,5,2,35 min,35 min,1 h 10 min,MasterChef,65.31 kCal
Rakovičje meso na posteljici iz regrata in pese,14,118,4,1,30 min,0 min,30 min,MasterChef,65.17 kCal
Pita z metino in pesino kremo,18,496,8,2,40 min,40 min,1 h 20 min,MasterChef,417.23 kCal
Telečja lička z gorčičnimi semeni in zelenjavno prilogo,14,225,7,1,40 min,35 min,1 h 15 min,MasterChef,63.99 kCal
Pesin karpačo z gobjim tatarcem,17,124,4,2,10 min,20 min,30 min,MasterChef,75.75 kCal
Štefani pečenka s poširanim jajcem,13,221,5,2,15 min,35 min,50 min,MasterChef,181.8 kCal
Ramstek na gobjem tatarcu z vijoličastim pirejem in kremo iz stročjega fižola,13,251,8,2,25 min,25 min,50 min,MasterChef,133.33 kCal
"Postrv s koromačevo-kokosovo omako, čemaževim rižem in hrustljavim belušem",11,260,6,2,20 min,15 min,35 min,MasterChef,185.84 kCal
Poširana postrv s tapioko,11,198,6,2,45 min,15 min,1 h 0 min,MasterChef,96.04 kCal
Zajčji file s polento s pestom,18,261,7,2,35 min,30 min,1 h 5 min,MasterChef,249.18 kCal
"Zajčji hrbet z žafranom, zeliščno kvinojo in korenčkovim čipsom",11,169,7,1,30 min,30 min,1 h 0 min,MasterChef,187.92 kCal
Zajčji file v vinski marinadi s korenčkovim pirejem,17,185,6,2,20 min,20 min,40 min,MasterChef,207.1 kCal
Zajčji golaž s suhimi slivami in kremasto zeliščno polento,17,183,6,1,25 min,35 min,1 h 0 min,MasterChef,189.04 kCal
Zajec v panko drobtinah s cvetačno kremo in vinskim korenčkom,16,212,5,2,20 min,30 min,50 min,MasterChef,284.28 kCal
Smetanova strjenka,4,68,3,1,30 min,0 min,30 min,Mesec smetanovih jedi,387.46 kCal
Gorgonzolni narastek s peteršiljevo redukcijo,9,115,3,2,20 min,30 min,50 min,Mesec smetanovih jedi,300.37 kCal
S skuto polnjene piščančje prsi v smetanovi omaki z malvazijo,11,104,4,1,15 min,15 min,30 min,Mesec smetanovih jedi,178.37 kCal
"Skutni njoki v omaki s starano gaudo, lešniki in dimljenim brancinom",10,96,4,2,30 min,10 min,40 min,Mesec smetanovih jedi,279.95 kCal
Gorgonzolna juha s timijanom in ocvrtim mehko kuhanim jajcem,8,84,3,2,20 min,10 min,30 min,Mesec smetanovih jedi,231.29 kCal
Jagnječji file z dušenim rdečim zeljem in proseno polpeto,10,184,4,2,15 min,30 min,45 min,MasterChef,202.17 kCal
Jagnječji file na posteljici iz rdečega zelja in prosene kaše,12,191,6,2,15 min,30 min,45 min,MasterChef,166.34 kCal
"Svinjska ribica, zeliščno krhko testo s karamelizirano čebulo in špargljeva krema",14,203,6,2,30 min,20 min,50 min,MasterChef,158.59 kCal
"V maslu poširane kozice s paradižnikovo omako, šparglji in čipsom",11,166,5,2,10 min,35 min,45 min,MasterChef,64.6 kCal
Svinjska ribica z gorčično omako,8,160,6,1,20 min,15 min,35 min,MasterChef,131.83 kCal
Skutna tortica,7,119,3,1,5 h 20 min,10 min,5 h 30 min,Mesec prazničnih skutnih dobrot,165.43 kCal
Skutni namaz s hrenom in glaziranim jabolkom,1,70,3,1,15 min,10 min,25 min,Mesec smetanovih jedi,0 kCal
Smetanova pena s krompirjem in igverjem,6,65,2,1,15 min,20 min,35 min,Mesec smetanovih jedi,72.04 kCal
Smetanova torta z metino omako,11,112,3,2,30 min,7 min,37 min,Mesec smetanovih jedi,268.31 kCal
Skutna pita s porom in pinjolami,13,128,4,2,1 h 20 min,40 min,2 h 0 min,Mesec smetanovih jedi,377.26 kCal
Skutni kipnik s fondijem,14,133,2,2,15 min,20 min,35 min,Mesec smetanovih jedi,211.19 kCal
Žličniki iz skutne pene s solatnim šopkom in jogurtovim dresingom,10,96,3,1,30 min,0 min,30 min,Mesec smetanovih jedi,167.73 kCal
Skutni štruklji s praženimi oreščki in smetanovo kremo,18,150,5,2,1 h 20 min,30 min,1 h 50 min,Slovenska,197.32 kCal
Smetanova strjenka z gozdnimi sadeži,9,113,3,1,4 h 0 min,5 min,4 h 5 min,Mesec smetanovih jedi,461.72 kCal
Pomarančni profiteroli s čokoladno glazuro,25,373,7,2,40 min,40 min,1 h 20 min,MasterChef,273.01 kCal
Brancin v zeliščni skorjici s koromačevo kremo in pisanim čipsom,17,361,7,2,45 min,25 min,1 h 10 min,MasterChef,100.88 kCal
Rižota s škampi,11,216,6,2,35 min,25 min,1 h 0 min,MasterChef,160.46 kCal
"Srnin file z zeliščno skorjico, cvetačnim pirejem in brusnično omako",15,174,5,2,30 min,30 min,1 h 0 min,MasterChef,146.17 kCal
Tatarec iz rdeče postrvi z ohrovtovo solato in popečenim kruhkom,10,158,5,1,30 min,10 min,40 min,MasterChef,135.68 kCal
Tris cupcakeov,38,380,5,2,30 min,15 min,45 min,MasterChef,319.65 kCal
Krhko testo z orehovim nadevom in pomarančno omako,17,199,6,2,40 min,40 min,1 h 20 min,MasterChef,301.35 kCal
Popečeni polži s sotirano zelenjavo in nežno kremo,13,223,7,2,20 min,40 min,1 h 0 min,MasterChef,129.21 kCal
"Pehtranove testenine s polži, šparglji in češnjevimi paradižniki",15,169,7,2,30 min,15 min,45 min,MasterChef,185.48 kCal
Riževi rezanci z zelenjavo in teriyaki piščancem,19,238,7,2,15 min,40 min,55 min,MasterChef,70.89 kCal
Škampi v popraženih riževih rezancih s sadno-zelenjavno omako,16,124,4,2,15 min,15 min,30 min,MasterChef,196.47 kCal
Red burger,18,232,7,2,30 min,20 min,50 min,MasterChef,125.79 kCal
Piščančji burger z zeljno solato z jabolkom,22,262,6,2,45 min,15 min,1 h 0 min,MasterChef,162.04 kCal
Piščančje prsi s pistacijevo kari omako in rižem z bučkami,17,223,5,2,30 min,30 min,1 h 0 min,MasterChef,267.37 kCal
Korenčkovi ravioli z lososom,14,159,5,2,40 min,20 min,1 h 0 min,MasterChef,292.17 kCal
V kavi in vinu mariniran srnin hrbet,12,154,4,2,20 min,25 min,45 min,MasterChef,95.61 kCal
Srnin hrbet z vijoličnim krompirjem in kavno omako,12,200,6,2,20 min,25 min,45 min,MasterChef,95.92 kCal
T-bone steak s kavo,10,125,5,2,15 min,35 min,50 min,MasterChef,131.25 kCal
Klobasa s sladkim pridihom,9,160,3,2,30 min,20 min,50 min,MasterChef,141 kCal
Čufti s pirejem,16,202,8,1,30 min,30 min,1 h 0 min,MasterChef,88.57 kCal
Svinjski zrezki s pirejem,20,183,6,1,20 min,40 min,1 h 0 min,MasterChef,143.5 kCal
Zeleno-bela simfonija,11,188,5,2,20 min,20 min,40 min,MasterChef,313.99 kCal
Florentinski steak,12,209,6,2,30 min,30 min,1 h 0 min,MasterChef,175.19 kCal
T-bone steak z jagodnim pirejem in zelenjavo,14,168,5,2,40 min,20 min,1 h 0 min,MasterChef,202.69 kCal
Premium klobasa s polento,11,124,4,2,25 min,30 min,55 min,MasterChef,246.26 kCal
Orientalska klobasa z zeljem in bučnim pirejem,14,162,5,2,20 min,40 min,1 h 0 min,MasterChef,173.67 kCal
Klobasa z jabolki in ajdovo kašo,8,141,6,2,30 min,20 min,50 min,MasterChef,258.78 kCal
Zrezek z gobami in skutnim štrukljem,20,294,7,2,30 min,30 min,1 h 0 min,MasterChef,144.62 kCal
Roza krompir s piščancem v gobicah,12,169,4,1,10 min,40 min,50 min,MasterChef,106.77 kCal
Na špagetih nanizane mesne kroglice z zelenjavno omako,15,137,4,1,20 min,40 min,1 h 0 min,MasterChef,163.76 kCal
Rulada z mlečnim rižem,13,160,6,1,15 min,30 min,45 min,MasterChef,168.65 kCal
Domači zeleni rezanci bolognese,17,154,4,2,30 min,30 min,1 h 0 min,MasterChef,252.76 kCal
Hrustljavi brancin na vrtu,14,176,5,2,30 min,20 min,50 min,MasterChef,75.39 kCal
Pijani brancin,15,150,3,2,30 min,20 min,50 min,MasterChef,117.6 kCal
Jagnječje zarebrnice z bučnim taginom,16,226,4,2,20 min,40 min,1 h 0 min,MasterChef,163.8 kCal
Pečen jagenjček s kuskusom in zelenjavno omako,19,209,5,2,10 min,50 min,1 h 0 min,MasterChef,110.02 kCal
Poširan brancinov file z limoninim pirejem in zelenjavno prilogo,15,187,5,2,20 min,15 min,35 min,MasterChef,92.06 kCal
Čokoladni biskvit s karamelno omako in pehtranovim žličnikom,12,134,4,2,20 min,40 min,1 h 0 min,MasterChef,300.77 kCal
Hrustljava račka s kvinojo,15,267,4,2,10 min,50 min,1 h 0 min,MasterChef,128.88 kCal
Tempura z zelenjavo,8,68,3,1,40 min,20 min,1 h 0 min,MasterChef,167.52 kCal
Nokturni tiramisu,18,186,6,2,30 min,15 min,45 min,MasterChef,347 kCal
Pivska tagliata,18,331,6,2,30 min,30 min,1 h 0 min,MasterChef,64.39 kCal
Špinačni ravioli z nadevom iz svetlega piva,16,212,6,2,40 min,20 min,1 h 0 min,MasterChef,229.04 kCal
Chilli con carne,19,192,5,2,20 min,40 min,1 h 0 min,MasterChef,84.4 kCal
Tostade s steakom in pekočo čili omako,13,213,6,2,45 min,12 min,57 min,MasterChef,124 kCal
Vroči piščančji taco,13,126,6,1,20 min,20 min,40 min,MasterChef,119.92 kCal
Čili govedina v hrustljavem spremstvu,16,153,6,2,15 min,45 min,1 h 0 min,MasterChef,140.79 kCal
Sveži taco,19,232,6,2,20 min,35 min,55 min,MasterChef,109.22 kCal
Ameriški zajtrk,17,237,5,1,35 min,20 min,55 min,MasterChef,382.18 kCal
Sladko-slani žličniki s pečenim paradižnikom,11,178,3,1,10 min,30 min,40 min,MasterChef,175.05 kCal
Krompirjevi njoki s hrustljavo slanino,10,233,6,2,30 min,30 min,1 h 0 min,MasterChef,192.29 kCal
Obrnjena krompirjevo-čokoladna tortica s slanino,13,219,6,2,30 min,30 min,1 h 0 min,MasterChef,123.91 kCal
Rebrasti krompirček,8,206,4,1,15 min,40 min,55 min,MasterChef,119.73 kCal
Nadevani šampinjoni z mocarelo in pestom,11,147,5,1,15 min,33 min,48 min,Italijanska,289.07 kCal
Palačinke iz pretlačenega krompirja,6,173,3,1,12 min,20 min,32 min,Na hitro,138.37 kCal
Pražen riž s piščancem,9,179,4,1,10 min,12 min,22 min,Na hitro,191.79 kCal
Masa za palačinke,6,137,4,1,7 min,0 min,7 min,Triki in nasveti,258.23 kCal
Kokosov kolač,12,172,5,1,15 min,40 min,55 min,Zabava,355.94 kCal
Velikonočni šarkelj z jajčnim likerjem,12,200,6,1,25 min,1 h 0 min,1 h 25 min,Velika noč,284.72 kCal
Korenčkova torta s sladkornim oblivom,19,238,7,2,25 min,45 min,1 h 10 min,Velika noč,311.47 kCal
Pečeno jagnječje stegno z začimbami,9,269,5,2,15 min,1 h 30 min,1 h 45 min,Velika noč,164.62 kCal
Preprost jagodni kolač s cimetom,12,204,4,1,15 min,50 min,1 h 5 min,Pomlad,300.18 kCal
Skutini rogljički s šunko in sirom,11,169,5,1,30 min,25 min,55 min,Zabava,273.93 kCal
Črno-bele kocke,14,298,6,2,1 h 30 min,30 min,2 h 0 min,Slovenska,204.48 kCal
Fiadone,7,122,4,1,15 min,40 min,55 min,Brez glutena,137.05 kCal
Panna cotta s kivijem,8,237,5,1,4 h 0 min,7 min,4 h 7 min,Italijanska,247.4 kCal
Orehovo pecivo z marmelado,12,203,4,1,20 min,30 min,50 min,Slovenska,382.52 kCal
Uheljčki s klobaso in porom,8,220,6,1,10 min,25 min,35 min,Italijanska,295.16 kCal
Bradačev (barbonov) file na koromačevi posteljici,7,113,4,1,10 min,10 min,20 min,Ribe in morski sadeži,141.04 kCal
Gratinirani makaroni z mletim mesom,12,208,4,2,15 min,40 min,55 min,Slovenska,318.42 kCal
Ovsena kaša z orehi in borovnicami,7,70,2,1,5 min,10 min,15 min,Zdravo in vegi,298.36 kCal
Pražen riž s sirom in paradižniki,8,149,4,1,10 min,5 min,15 min,Slovenska,86.23 kCal
Boršč,14,281,6,2,20 min,2 h 10 min,2 h 30 min,Zima,92.28 kCal
Kruhov narastek z rozinami,13,201,5,1,1 h 20 min,40 min,2 h 0 min,Slovenska,260.59 kCal
Italijanska meringa,2,163,4,2,15 min,20 min,35 min,Sladice,254.82 kCal
Velikonočni kruhki s sadjem,17,418,6,2,1 h 50 min,50 min,2 h 40 min,Velika noč,323.5 kCal
Etonska zmešnjava,5,116,3,1,25 min,0 min,25 min,Pomlad,100.31 kCal
Polnozrnati špageti z regratom in pinjolami,9,161,4,1,10 min,15 min,25 min,Pomlad,438.6 kCal
Čokoladna pita,14,383,6,2,1 h 55 min,55 min,2 h 50 min,Slovenska,448.3 kCal
Ananasov napitek z ginom,9,160,2,1,30 min,10 min,40 min,Poletje,109.63 kCal
Uheljčki z brokolijem in inčuni,9,173,5,1,15 min,15 min,30 min,Italijanska,218.08 kCal
Piščanec s paradižniki in olivami,12,220,5,1,10 min,1 h 0 min,1 h 10 min,Okusi sveta,157.94 kCal
Kavni žele z maskarponejevo kremo,8,147,5,1,20 min,10 min,30 min,Italijanska,345.03 kCal
Kokosov puding s chia semeni,5,62,2,1,1 h 10 min,0 min,1 h 10 min,Zdravo in vegi,269.5 kCal
Presni korenčkov namaz s sončničnimi semeni,7,92,2,1,15 min,0 min,15 min,Zdravo in vegi,257.18 kCal
Sadni pire s tapioko s kokosovim mlekom,5,133,3,1,40 min,15 min,55 min,Zdravo in vegi,207.16 kCal
"Ovseni kruhki z arašidovim maslom, banano in medom",4,32,2,1,5 min,0 min,5 min,Zdravo in vegi,223.85 kCal
Jabolčna čežana z jogurtom in granolo,5,106,3,1,10 min,15 min,25 min,Zdravo in vegi,64.89 kCal
"Lazanja iz jajčevcev, mletega mesa in paradižnikove omake",10,320,6,2,20 min,50 min,1 h 10 min,Italijanska,97.15 kCal
Romantični kolački (cupcakes),12,303,7,2,40 min,25 min,1 h 5 min,Zabava,460.95 kCal
"Kolač z rikoto, mandlji in olivnim oljem",10,154,5,1,10 min,30 min,40 min,Italijanska,265.17 kCal
Semifreddo z orehi,8,307,7,2,5 h 0 min,20 min,5 h 20 min,Italijanska,388.43 kCal
Mlečni riž z rikoto in sadno omako,10,163,4,1,15 min,20 min,35 min,Pomlad,170.11 kCal
Vanilijeva panna cotta s pasijonko,6,147,4,1,3 h 0 min,10 min,3 h 10 min,Sladice,181.39 kCal
Nadevani šampinjoni s sirom,5,92,3,1,5 min,7 min,12 min,Zabava,106.34 kCal
Piščančja korma,15,158,4,1,10 min,20 min,30 min,Okusi sveta,183.94 kCal
Jabolčni kolač z jogurtom in mandlji,13,185,5,1,15 min,40 min,55 min,Dieta,324.87 kCal
Dvakrat pečeni piškoti z žafranom in pistacijami,9,263,6,2,30 min,45 min,1 h 15 min,Italijanska,381.72 kCal
Ovsena kaša z banano in oreščki,10,112,3,1,7 min,15 min,22 min,Zdravo in vegi,206.49 kCal
Špinačna kremna juha,11,174,5,1,20 min,25 min,45 min,Zelenjava,79.12 kCal
Jabolčni čips,1,97,2,1,10 min,1 h 0 min,1 h 10 min,Zdravo in vegi,25 kCal
Cvetačni ocvrtki,7,196,4,2,20 min,20 min,40 min,Zelenjava,80.46 kCal
Avokadova solata s špinačo in slanino,8,129,3,1,15 min,7 min,22 min,Zelenjava,176.1 kCal
Halva z grškim žafranom,5,60,2,1,1 h 10 min,15 min,1 h 25 min,Zabava,215.19 kCal
Ribji fileji v zeliščni skorjici na cvetačnem pireju,16,235,6,1,15 min,20 min,35 min,Ribe in morski sadeži,104.45 kCal
Sendvič s svinjsko pečenko in zeljno solato,11,110,3,1,20 min,0 min,20 min,Predjedi in prigrizki,240.19 kCal
Svinjski kotleti z ananasom,10,160,4,1,10 min,15 min,25 min,Kuhinje,88.13 kCal
Zapečene testenine s klobaso,14,273,5,2,15 min,50 min,1 h 5 min,Italijanska,306.86 kCal
Tropski smoothie,5,68,2,1,15 min,0 min,15 min,Zdravo in vegi,79.27 kCal
Vroča čokolada s sladkornimi penicami,4,42,2,1,5 min,10 min,15 min,Kuhinje,541.99 kCal
Čokoladno-bananin kolač,11,221,4,1,15 min,1 h 15 min,1 h 30 min,Piknik in žar,318.29 kCal
Browniji z malinami,8,219,4,1,15 min,40 min,55 min,Zabava,379.96 kCal
Limonina pita z beljakovim pokrovom,17,524,8,2,1 h 30 min,50 min,2 h 20 min,Zabava,334.75 kCal
New York cheesecake,12,316,6,2,20 min,50 min,1 h 10 min,Kuhinje,377.89 kCal
Piščanec po maroško z marelicami in mandlji,16,176,5,1,7 min,1 h 20 min,1 h 27 min,Kuhinje,204.16 kCal
Rigatoni z mesnimi kroglicami v paradižnikovi omaki,18,246,5,2,15 min,30 min,45 min,Italijanska,212.47 kCal
Srčni krofki,12,335,6,2,1 h 40 min,18 min,1 h 58 min,Pust,374.17 kCal
Počasi pečene jagnječje krače v čebulni omaki,7,259,5,2,10 min,3 h 20 min,3 h 30 min,Božič in novo leto,138.65 kCal
Limonina rižota z dimljenim lososom,12,199,5,2,15 min,25 min,40 min,Valentinovo,338.37 kCal
Juha iz pečenega pastinaka,10,203,6,2,15 min,50 min,1 h 5 min,Zima,146.01 kCal
Fokača z olivami in rožmarinom,9,221,3,2,1 h 35 min,20 min,1 h 55 min,Italijanska,335.94 kCal
Kruhki s prepraženimi gobicami,7,106,3,1,20 min,25 min,45 min,Zabava,62.02 kCal
Bananin kolač z jogurtom,8,188,5,1,10 min,1 h 15 min,1 h 25 min,Piknik in žar,233.18 kCal
Preprost jabolčni kolač,13,257,4,1,20 min,1 h 0 min,1 h 20 min,Jesen,276.9 kCal
Piščančje prsi z gobicami in hrustljavimi parmezanovimi drobtinami,11,203,4,2,15 min,32 min,47 min,Zabava,176.85 kCal
Paella s piščancem in chorizom,15,233,5,2,15 min,30 min,45 min,Meso,252.75 kCal
Goveji ragu z rdečim vinom,15,254,5,2,30 min,2 h 5 min,2 h 35 min,Meso,182.37 kCal
Pečene piščančje prsi s fižolom in klobaso,11,182,4,1,10 min,35 min,45 min,Zima,149.84 kCal
Topla čičerikina solata s klobaso,7,107,4,1,10 min,10 min,20 min,Solate,210.34 kCal
Zapečena cvetača in brokoli v sirovi omaki,11,173,3,2,20 min,30 min,50 min,Zelenjava,118.21 kCal
Pesina solata s feto,6,135,3,1,15 min,40 min,55 min,Zdravo in vegi,101.78 kCal
Domače arašidovo maslo,4,127,4,1,15 min,12 min,27 min,Namazi,559.94 kCal
Češnjev poljub,6,56,2,1,5 min,0 min,5 min,Valentinovo,0 kCal
Ljubezenski napoj,7,65,2,1,5 min,0 min,5 min,Valentinovo,0 kCal
